Page,Form,Rank,Team,Athlete,Score,Remark
,Men's Taijiquan-type routines_Chen Style Group D,3,MAC,LI Shaoyue,8.82,Bronze
,Men's Taijiquan-type routines_Chen Style Group D,4,AIN,Ivan KRASNOBAEV,8.78,Second Prize
,Men's Taijiquan-type routines_Chen Style Group D,5,IND,Kamal Kumar BORO,8.71,Second Prize
,Men's Taijiquan-type routines_Chen Style Group D,6,HKG,SAT Pak Long,8.71,Second Prize
,Men's Taijiquan-type routines_Chen Style Group D,7,AIN,Vasilii KISLITSYN,8.64,Third Prize
,Men's Taijiquan-type routines_Chen Style Group D,8,AIN,Andrei SOROKIN,8.6,Third Prize
,Men's Taijiquan-type routines_Chen Style Group D,9,ITA,Gianluigi BISONI,8.6,Third Prize
,Men's Taijiquan-type routines_Chen Style Group D,10,USA,Kyle WONG,8.59,Third Prize
,Men's Taijiquan-type routines_Chen Style Group D,11,SGP,LOW Julian,8.52,
,Men's Taijiquan-type routines_Chen Style Group D,12,MEX,Alan Agustin MARTINEZ GARCIA,8.45,
,Men's Taijiquan-type routines_Chen Style Group D,13,SVK,Martin MALy,8.44,
,Men's Taijiquan-type routines_Chen Style Group D,14,NZL,Jichuan LI,8.38,
,Men's Taijiquan-type routines_Chen Style Group D,Default,ALG,Temime YAZID,,
Wushu Taolu,Men's Taijiquan-type routines_42-posture Taijiquan Group D,1,MAC,ZHANG Pok Yui,8.84,First Prize
,Men's Taijiquan-type routines_42-posture Taijiquan Group D,2,HKG,LEUNG Yat Sing,8.76,Second Prize
,Men's Taijiquan-type routines_42-posture Taijiquan Group D,3,JPN,MA Ning,8.71,Third Prize
,Men's Taijiquan-type routines_42-posture Taijiquan Group D,4,HKG,WU Guanxi,8.7,Third Prize
,Men's Taijiquan-type routines_42-posture Taijiquan Group D,5,IND,Kunal SHARMA,7.93,
,Men's Taijiquan-type routines_42-posture Taijiquan Group D,Default,SRI,Anuhas Chandupa Ranaweera IMI ARACHCHILLAGE,,
,Men's Taijiquan-type routines_42-posture Taijiquan Group D,Default,HAI,Sem Obnes ZEPHIR,,
Wushu Taolu,Men's Taijiquan-type routines_Other routines Group D,1,MAC,HAN Soi Wa,8.81,First Prize
,Men's Taijiquan-type routines_Other routines Group D,2,HKG,KWONG Long Yui,8.8,Second Prize
,Men's Taijiquan-type routines_Other routines Group D,3,INA,Erick Citra LOEIS,8.78,Second Prize
,Men's Taijiquan-type routines_Other routines Group D,4,SGP,SNG Wei Liang Davion,8.7,Third Prize
,Men's Taijiquan-type routines_Other routines Group D,5,EGY,Basel ABDALLA,8.62,Third Prize
,Men's Taijiquan-type routines_Other routines Group D,6,ESP,Mario SIMóN GARCíA,8.48,
,Men's Taijiquan-type routines_Other routines Group D,Default,AFG,Niknam FAZLURRAHMAN,,
Wushu Taolu,Women's Taijiquan-type routines_Chen Style Group D,1,AIN,Anastasiia KADENOVA,9.03,Gold
,Women's Taijiquan-type routines_Chen Style Group D,2,MAC,KUOK Wai Meng,8.83,Silver
,Women's Taijiquan-type routines_Chen Style Group D,3,UKR,Mariia KOLISNYK,8.82,Bronze
,Women's Taijiquan-type routines_Chen Style Group D,4,AIN,Alena KONEVA,8.74,Second Prize
,Women's Taijiquan-type routines_Chen Style Group D,5,SGP,TAY Kai Xin Ranice,8.74,Second Prize
,Women's Taijiquan-type routines_Chen Style Group D,6,GEO,Nino CHIKHLADZE,8.72,Third Prize
,Women's Taijiquan-type routines_Chen Style Group D,7,NED,Lisa Charmaine Maria MURESU,8.71,Third Prize
,Women's Taijiquan-type routines_Chen Style Group D,8,AIN,Elizaveta SMIRNOVA,8.65,Third Prize
,Women's Taijiquan-type routines_Chen Style Group D,9,GBR,Myrsini Chionia CHRISTODOULELLI,8.61,Third Prize
,Women's Taijiquan-type routines_Chen Style Group D,10,CAN,Susanna NG,8.59,Third Prize
,Women's Taijiquan-type routines_Chen Style Group D,11,GEO,Niia CHKHAIDZE,8.5,
,Women's Taijiquan-type routines_Chen Style Group D,12,FRA,Nina NGUYEN,8.42,
,Women's Taijiquan-type routines_Chen Style Group D,13,CAN,Elaine Yen Heng KUO,8.41,
,Women's Taijiquan-type routines_Chen Style Group D,14,AUS,Bethany Kay ENDACOTT,8.4,
Wushu Taolu,Women's Taijiquan-type routines_Yang Style Group D,1,HKG,YEUNG Debbie,8.85,First Prize
,Women's Taijiquan-type routines_Yang Style Group D,2,AIN,Anastasiia DEEVA,8.77,Second Prize
,Women's Taijiquan-type routines_Yang Style Group D,3,MAC,HUNG Si Fan,8.75,Second Prize
,Women's Taijiquan-type routines_Yang Style Group D,4,POL,Anna Maria KUBIAK,8.66,Third Prize
,Women's Taijiquan-type routines_Yang Style Group D,5,ROU,Denisa Ruxandra ANASTASIU,8.65,Third Prize
,Women's Taijiquan-type routines_Yang Style Group D,6,ITA,Denise PASQUAVAGLIO,8.57,Third Prize
,Women's Taijiquan-type routines_Yang Style Group D,7,FRA,Soimanga ANDRIAMANANTSOA,8.54,
,Women's Taijiquan-type routines_Yang Style Group D,8,ESP,Alba NInO GONZALEZ,8.52,
,Women's Taijiquan-type routines_Yang Style Group D,9,IND,Kriti,8.39,
,Women's Taijiquan-type routines_Yang Style Group D,Default,ARG,Ayelen Sabrina RANDAZZO,,
,Women's Taijiquan-type routines_Yang Style Group D,Default,AIN,Irina SAVELEVA,,
Wushu Taolu,Women's Taijiquan-type routines_Other routines Group D,1,HKG,AU-YEUNG Pui Yue,8.85,First Prize
,Women's Taijiquan-type routines_Other routines Group D,2,HKG,NGAN Ka Wing,8.8,Second Prize
,Women's Taijiquan-type routines_Other routines Group D,3,TUR,Ecrin COKHAMUR,8.76,Second Prize
,Women's Taijiquan-type routines_Other routines Group D,4,BRU,Guat Lian ANG,8.69,Third Prize
,Women's Taijiquan-type routines_Other routines Group D,5,SGP,TAN Wei Qing Regina,8.63,Third Prize
,Women's Taijiquan-type routines_Other routines Group D,6,NZL,Sixia GENG,8.61,Third Prize
,Women's Taijiquan-type routines_Other routines Group D,7,BRA,Katemann Akemi VALENTIM UEMOTO,8.59,
,Women's Taijiquan-type routines_Other routines Group D,8,FRA,Flora POINT,8.55,
Wushu Taolu,Women's Fourth-type bare-hand routine_Huaquan Group,1,CHN,CHEN Yu,9.15,First Prize
,Women's Fourth-type bare-hand routine_Huaquan Group,2,CHN,LV Jiawen,9.05,Second Prize
,Women's Fourth-type bare-hand routine_Huaquan Group,3,HKG,WONG Man Ting,8.78,Third Prize
,Women's Fourth-type bare-hand routine_Huaquan Group,4,SGP,TEO Jing Yin Venus,8.66,Third Prize
,Women's Fourth-type bare-hand routine_Huaquan Group,5,IND,Bala Harshini DINESH KUMAR,8.52,
,Women's Fourth-type bare-hand routine_Huaquan Group,Default,TUR,Elif Naz KARA,,
Wushu Taolu,Women's bare-hand routines_Other routines Group D,1,CHN,LIU Jinxia,9.13,Gold
,Women's bare-hand routines_Other routines Group D,2,AIN,Anna LEONOVA,9.08,Silver
,Women's bare-hand routines_Other routines Group D,3,CHN,WANG Ben,9.07,Bronze
,Women's bare-hand routines_Other routines Group D,4,GER,Anna Paulina JANSEN,8.77,Second Prize
,Women's bare-hand routines_Other routines Group D,5,MAS,CHOONG Hui Ying,8.76,Second Prize
,Women's bare-hand routines_Other routines Group D,6,GRE,Elena XIROGIANNI,8.75,Second Prize
,Women's bare-hand routines_Other routines Group D,7,BRA,Pamela RAMAZZOTTI GOMES,8.66,Third Prize
,Women's bare-hand routines_Other routines Group D,8,RSA,Nerine DU PLESSIS,8.63,Third Prize
,Women's bare-hand routines_Other routines Group D,9,BEL,DOEHAERD Yuna,8.62,Third Prize
,Women's bare-hand routines_Other routines Group D,10,GRE,Polyxeni GEORGOPAPADAKOU,8.61,Third Prize
,Women's bare-hand routines_Other routines Group D,11,KGZ,Aisalkyn TASHMATOVA,8.59,Third Prize
,Women's bare-hand routines_Other routines Group D,12,NED,Nicole Amely Mikhailovna USACHEV,8.53,
,Women's bare-hand routines_Other routines Group D,13,ROU,Cezara GORAN,8.52,
,Women's bare-hand routines_Other routines Group D,14,NED,Kira Alana Phaedra ORMSKERK,8.51,
,Women's bare-hand routines_Other routines Group D,15,USA,Alexa CUEVAS,8.45,
,Women's bare-hand routines_Other routines Group D,16,CAN,Stephanie BRAITHWAITE,8.42,
Wushu Taolu,Women's Nanquan-type routines_Hongjiaquan (Hung Gar) Group,1,AIN,Evgenia PAVLOVA,8.9,First Prize
,Women's Nanquan-type routines_Hongjiaquan (Hung Gar) Group,2,AIN,Ekaterina DONETS,8.83,Second Prize
,Women's Nanquan-type routines_Hongjiaquan (Hung Gar) Group,3,SGP,LOW Elicia Qiu Min,8.76,Second Prize
,Women's Nanquan-type routines_Hongjiaquan (Hung Gar) Group,4,IND,Purnima LINDA,8.64,Third Prize
,Women's Nanquan-type routines_Hongjiaquan (Hung Gar) Group,5,ITA,Marta BORROMEO,8.63,Third Prize
,Women's Nanquan-type routines_Hongjiaquan (Hung Gar) Group,6,POL,Emilia Marta RYCHLEWSKA,8.59,Third Prize
,Women's Nanquan-type routines_Hongjiaquan (Hung Gar) Group,7,ITA,Nadia LO SAPIO,8.5,
,Women's Nanquan-type routines_Hongjiaquan (Hung Gar) Group,8,AUS,Mai Lee THAO,8.4,
Wushu Taolu,Women's Nanquan-type routines_Other routines Group D,1,CHN,HUANG Songyuan,9.17,Gold
,Women's Nanquan-type routines_Other routines Group D,2,HKG,HE Jianxin,9.03,Silver
,Women's Nanquan-type routines_Other routines Group D,3,HKG,LAU Po Yan,8.93,Bronze
,Women's Nanquan-type routines_Other routines Group D,4,IND,Rezina TAMANG,8.83,Second Prize
,Women's Nanquan-type routines_Other routines Group D,5,MAC,PO Hio Lam,8.82,Second Prize
,Women's Nanquan-type routines_Other routines Group D,6,UKR,Lidiia SOBOL,8.76,Second Prize
,Women's Nanquan-type routines_Other routines Group D,7,ROU,Mara Georgia Alina OBEANU,8.73,Third Prize
,Women's Nanquan-type routines_Other routines Group D,8,ITA,Elisabetta SIRTO,8.7,Third Prize
,Women's Nanquan-type routines_Other routines Group D,9,UKR,Svitlana ZAVIALOVA,8.65,Third Prize
,Women's Nanquan-type routines_Other routines Group D,10,USA,Luna FRANCO,8.64,Third Prize
,Women's Nanquan-type routines_Other routines Group D,11,BRA,Ana Paula MANENTE COTTET,8.63,Third Prize
,Women's Nanquan-type routines_Other routines Group D,12,GRE,Chloi VARELIDI,8.62,Third Prize
,Women's Nanquan-type routines_Other routines Group D,13,POL,Wiktoria Klaudia DeBOSZ,8.6,
,Women's Nanquan-type routines_Other routines Group D,14,POL,Magda Krystyna SKIBA,8.57,
,Women's Nanquan-type routines_Other routines Group D,15,HKG,CHEUNG Ophil,8.56,
,Women's Nanquan-type routines_Other routines Group D,16,IND,Rushi KUMARI,8.5,
,Women's Nanquan-type routines_Other routines Group D,17,TJK,Mutabarkhon KARIMOVA,8.43,
,Women's Nanquan-type routines_Other routines Group D,18,ARG,Erika Judith RANDAZZO,8.39,
,Women's Nanquan-type routines_Other routines Group D,19,AUS,Nola PHUONG,8.31,
,Women's Nanquan-type routines_Other routines Group D,20,MAS,LING Hellen Mee Ee,8.05,
,Women's Nanquan-type routines_Other routines Group D,Default,GRE,Elena XIROGIANNI,,
,Women's Nanquan-type routines_Other routines Group D,Default,USA,Ailani CASTILLA,,
Wushu Taolu,Women's 24-type Taijiquan Group F,1,NZL,Teck Lan TAN,8.68,First Prize
,Women's 24-type Taijiquan Group F,2,JPN,KANEKO Katsuko,8.58,First Prize
,Women's 24-type Taijiquan Group F,3,NZL,Qinghui ZHANG,8.55,Second Prize
,Women's 24-type Taijiquan Group F,4,JPN,AZUMA Masako,8.51,Second Prize
,Women's 24-type Taijiquan Group F,5,JPN,HIRATA Shizuko,8.38,Third Prize
,Women's 24-type Taijiquan Group F,6,JPN,YAMAGUCHI Takako,8.37,Third Prize
,Women's 24-type Taijiquan Group F,7,JPN,JUNNISHI Junko,8.33,Third Prize
,Women's 24-type Taijiquan Group F,8,JPN,SHIGEMITSU Yukiko,8.26,
Wushu Taolu,Women's Taijiquan-type routines_42-posture Taijiquan Group F,1,MAC,CHEONG Lao Leng,8.64,First Prize
,Women's Taijiquan-type routines_42-posture Taijiquan Group F,2,GBR,WATANABE Yoko,8.61,First Prize
,Women's Taijiquan-type routines_42-posture Taijiquan Group F,3,KGZ,Tatiana PAK,8.56,Second Prize
,Women's Taijiquan-type routines_42-posture Taijiquan Group F,4,JPN,FAN Hong,8.52,Second Prize
,Women's Taijiquan-type routines_42-posture Taijiquan Group F,5,CAN,Maggie Mei Kwai CHEUNG,8.5,Third Prize
,Women's Taijiquan-type routines_42-posture Taijiquan Group F,6,AUS,Mimi Therese Phun,8.37,Third Prize
Wushu Taolu,Women's Taijiquan-type routines_Yang Style Group F,1,HKG,CHONG Poh Lin,8.73,Gold
,Women's Taijiquan-type routines_Yang Style Group F,2,CAN,Eva Qiuzi FANG,8.65,Silver
,Women's Taijiquan-type routines_Yang Style Group F,3,MAC,HO Lai Sim,8.55,Bronze
,Women's Taijiquan-type routines_Yang Style Group F,4,HKG,LEUNG Yuen Nga Barbara,8.53,First Prize
,Women's Taijiquan-type routines_Yang Style Group F,5,HKG,MA Man Wai Lucia,8.52,Second Prize
,Women's Taijiquan-type routines_Yang Style Group F,6,AUS,Yunian WU,8.49,Second Prize
,Women's Taijiquan-type routines_Yang Style Group F,7,HKG,LIU Oi Lin Irene,8.48,Second Prize
,Women's Taijiquan-type routines_Yang Style Group F,8,AUS,Thuc Khanh LU,8.43,Second Prize
,Women's Taijiquan-type routines_Yang Style Group F,9,MEX,Silvia ARELLANO RODRIGUEZ,8.42,Third Prize
,Women's Taijiquan-type routines_Yang Style Group F,10,HKG,LEUNG Fung Ha,8.41,Third Prize
,Women's Taijiquan-type routines_Yang Style Group F,11,HKG,LAU Yun Lam Alice,8.4,Third Prize
,Women's Taijiquan-type routines_Yang Style Group F,12,MEX,Rosa Manuela ARRIAGA ORIHUELA,8.39,Third Prize
,Women's Taijiquan-type routines_Yang Style Group F,13,HKG,CHAN Sau Lan Cecilia,8.38,Third Prize
,Women's Taijiquan-type routines_Yang Style Group F,14,NZL,Yuet Ying LAU,8.36,Third Prize
,Women's Taijiquan-type routines_Yang Style Group F,15,HKG,WONG Yim Chong Esther,8.35,
,Women's Taijiquan-type routines_Yang Style Group F,16,USA,Sally MAHONEY,8.34,
,Women's Taijiquan-type routines_Yang Style Group F,17,AUS,Shuet Yee SIN,8.28,
,Women's Taijiquan-type routines_Yang Style Group F,18,HKG,HUEN Siu Kuen,8.25,
,Women's Taijiquan-type routines_Yang Style Group F,19,AUS,Leonny Johanna PRIEST,8.24,
,Women's Taijiquan-type routines_Yang Style Group F,20,ARG,Cristina ROSALES,7.89,
,Women's Taijiquan-type routines_Yang Style Group F,Default,JPN,JUNNISHI Junko,,
Wushu Taolu,Women's Taijiquan-type routines_Other Taijiquan Group,1,NED,Sabine Ariel Siao San SMEETS-GO,8.62,First Prize
,Women's Taijiquan-type routines_Other Taijiquan Group,2,ITA,Jianzhen GE,8.58,First Prize
,Women's Taijiquan-type routines_Other Taijiquan Group,3,JPN,UKAI Yoko,8.5,Second Prize
,Women's Taijiquan-type routines_Other Taijiquan Group,4,CAN,Wendy Suen Chung FUNG,8.46,Second Prize
,Women's Taijiquan-type routines_Other Taijiquan Group,5,JPN,YANASE Kimiko,8.44,Third Prize
,Women's Taijiquan-type routines_Other Taijiquan Group,6,JPN,WATANABE Takako,8.35,Third Prize
,Women's Taijiquan-type routines_Other Taijiquan Group,7,JPN,SHIMIZU Michiko,8.33,Third Prize
,Women's Taijiquan-type routines_Other Taijiquan Group,8,USA,Kristen FANG,8.31,
,Women's Taijiquan-type routines_Other Taijiquan Group,9,CAN,Brenda Bing Wan LEE,8.25,
Wushu Taolu,Men's Single-weapon routines_Dao (Broadsword) Group E,1,POL,Sebastian Krzysztof OLESZCZUK,8.66,First Prize
,Men's Single-weapon routines_Dao (Broadsword) Group E,2,HUN,Géza Zoltán SIMON,8.61,Second Prize
,Men's Single-weapon routines_Dao (Broadsword) Group E,3,POR,Daniel DAVID,8.59,Second Prize
,Men's Single-weapon routines_Dao (Broadsword) Group E,4,USA,Jason BUCKWALTER,8.54,Third Prize
,Men's Single-weapon routines_Dao (Broadsword) Group E,5,POR,António INáCIO,8.52,Third Prize
,Men's Single-weapon routines_Dao (Broadsword) Group E,6,AUS,Michael Zhen YU,8.5,Third Prize
,Men's Single-weapon routines_Dao (Broadsword) Group E,7,ARG,Carlos Alberto PUEBLA,8.41,
,Men's Single-weapon routines_Dao (Broadsword) Group E,8,ARG,Jacobo Enrique AVILES PALACIOS,8.4,
,Men's Single-weapon routines_Dao (Broadsword) Group E,9,BUL,Dimitar MIHAYLOV,8.32,
,Men's Single-weapon routines_Dao (Broadsword) Group E,10,USA,Christopher HOFFMAN,7.95,
Wushu Taolu,Men's Single-weapon routines_Jian (Straight Sword) Group E,1,FRA,Yun - Yaw CHU,8.91,First Prize
,Men's Single-weapon routines_Jian (Straight Sword) Group E,2,SVK,Michal SLAMKA,8.85,Second Prize
,Men's Single-weapon routines_Jian (Straight Sword) Group E,3,JPN,IWAMOTO Junya,8.75,Second Prize
,Men's Single-weapon routines_Jian (Straight Sword) Group E,4,GBR,Jonathan Wai Kit LAM,8.73,Third Prize
,Men's Single-weapon routines_Jian (Straight Sword) Group E,5,USA,Mario SALAZAR,8.72,Third Prize
,Men's Single-weapon routines_Jian (Straight Sword) Group E,6,USA,Gerard SILVA,8.68,Third Prize
,Men's Single-weapon routines_Jian (Straight Sword) Group E,7,HUN,Ferenc DARAB,8.52,
,Men's Single-weapon routines_Jian (Straight Sword) Group E,8,AUS,Brian HONG,8.37,
,Men's Single-weapon routines_Jian (Straight Sword) Group E,9,FRA,Marc - Aurèle DARCHE,8.36,
Wushu Taolu,Men's Single-weapon routines_Gun (Cudgel/Staff) Group,1,FRA,Kévin HENG,8.78,First Prize
,Men's Single-weapon routines_Gun (Cudgel/Staff) Group,2,BRA,Italo Jorge OLIVEIRA SANTOS,8.58,Second Prize
,Men's Single-weapon routines_Gun (Cudgel/Staff) Group,3,USA,Mario ALVAREZ BERNAL,8.53,Second Prize
,Men's Single-weapon routines_Gun (Cudgel/Staff) Group,4,AUS,John Arthur CALLAGHAN,8.51,Third Prize
,Men's Single-weapon routines_Gun (Cudgel/Staff) Group,5,POL,Grzegorz RYCHLEWSKI,8.45,Third Prize
,Men's Single-weapon routines_Gun (Cudgel/Staff) Group,6,USA,Wayne BREWER,8.1,
,Men's Single-weapon routines_Gun (Cudgel/Staff) Group,Default,ARG,Rosalino GAUTO OLIVERA,,
,Men's Single-weapon routines_Gun (Cudgel/Staff) Group,Default,ALG,Bouloudenine BILAL,,
,Men's Single-weapon routines_Gun (Cudgel/Staff) Group,Default,ROU,Florin IOANA,,
,Men's Single-weapon routines_Gun (Cudgel/Staff) Group,Default,TJK,Bakhriddin SIRODZHOV,,
,Men's Single-weapon routines_Gun (Cudgel/Staff) Group,Default,TJK,Khurshedjon MULLOBOEV,,
Wushu Taolu,Men's Single-weapon routines_Qiang (Spear) Group E,1,MAS,TAN Ching Fung,8.8,First Prize
,Men's Single-weapon routines_Qiang (Spear) Group E,2,SGP,ANG Royce Boon Seng,8.78,Second Prize
,Men's Single-weapon routines_Qiang (Spear) Group E,3,BRA,Marco APARECIDO MARTIM JUNIOR,8.7,Second Prize
,Men's Single-weapon routines_Qiang (Spear) Group E,4,FRA,Benoist DELEXTRAT,8.63,Third Prize
,Men's Single-weapon routines_Qiang (Spear) Group E,5,POL,Konrad MAsNICKI,8.56,Third Prize
,Men's Single-weapon routines_Qiang (Spear) Group E,6,POL,Marek Antoni USZKUR,8.5,Third Prize
,Men's Single-weapon routines_Qiang (Spear) Group E,7,BEL,Moubarak DAOUDI,8.46,
Wushu Taolu,Men's Single-weapon routines_Guandao /Pudao Group E,1,POR,Sérgio ALMEIDA,8.69,First Prize
,Men's Single-weapon routines_Guandao /Pudao Group E,2,USA,Sebastian RAMOS CONTRERAS,8.66,Second Prize
,Men's Single-weapon routines_Guandao /Pudao Group E,3,MEX,Daniel Benjamin CORONA AGUILAR,8.5,Second Prize
,Men's Single-weapon routines_Guandao /Pudao Group E,4,ARG,Sergio Fabian ESPECHE,8.44,Third Prize
,Men's Single-weapon routines_Guandao /Pudao Group E,5,MAS,SIM Sze Kiat,8.4,Third Prize
,Men's Single-weapon routines_Guandao /Pudao Group E,6,USA,Matthew WHITAKER HOPWOOD,8.3,
,Men's Single-weapon routines_Guandao /Pudao Group E,Default,ARG,Jorge Agustín PIERI,,
Wushu Taolu,Men's Flexible/Soft-weapon routines_Other routines Group E,1,ESP,Jose Luis MORALES GARCIA,8.82,First Prize
,Men's Flexible/Soft-weapon routines_Other routines Group E,2,POR,Alexander PONZO,8.6,Second Prize
,Men's Flexible/Soft-weapon routines_Other routines Group E,3,FRA,Alexandre PATUREL,8.5,Third Prize
,Men's Flexible/Soft-weapon routines_Other routines Group E,4,BEL,Johan CONTI,8.49,Third Prize
Wushu Taolu,Women's Single-weapon routines_Jian (Straight Sword) Group E,1,FRA,Thanh INGLE LAI THI,8.59,First Prize
,Women's Single-weapon routines_Jian (Straight Sword) Group E,2,AUS,Angela Jia Li MAK,8.56,Second Prize
,Women's Single-weapon routines_Jian (Straight Sword) Group E,3,KGZ,Natalia NESHCHERET,8.5,Second Prize
,Women's Single-weapon routines_Jian (Straight Sword) Group E,4,USA,Lin GAO,8.41,Third Prize
,Women's Single-weapon routines_Jian (Straight Sword) Group E,5,HUN,Linda GYURCSó-DEáK,8.4,Third Prize
,Women's Single-weapon routines_Jian (Straight Sword) Group E,6,BRA,Renata Cristina LIU,8.34,Third Prize
,Women's Single-weapon routines_Jian (Straight Sword) Group E,7,GRE,Maria KONSTANTINOU,8.3,
,Women's Single-weapon routines_Jian (Straight Sword) Group E,8,AUS,Yu Zhang DONG FANG,8.2,
Wushu Taolu,Women's Single-weapon routines_Other routines Group E,1,CHN,HUANG Yi,9.09,First Prize
,Women's Single-weapon routines_Other routines Group E,2,HUN,Szilvia GARAMI,8.59,Second Prize
,Women's Single-weapon routines_Other routines Group E,3,NED,Marielle Brigitte SANCHEZ VAN GINKEL,8.55,Second Prize
,Women's Single-weapon routines_Other routines Group E,4,GRE,Anna KOKKINAKI,8.52,Third Prize
,Women's Single-weapon routines_Other routines Group E,5,GBR,Michele Maki NAKASONE,8.49,Third Prize
,Women's Single-weapon routines_Other routines Group E,6,GRE,Eleftheria PANAGOPOULOU,8.48,Third Prize
,Women's Single-weapon routines_Other routines Group E,7,USA,Jessica AMISIAL,8.39,
,Women's Single-weapon routines_Other routines Group E,8,AUS,Rosemary HERMANS,8.38,
,Women's Single-weapon routines_Other routines Group E,9,JPN,UEDA Mikiko,8.34,
